Collection Name,Movies,Year,Style,Movie Type
,Amityville: The Awakening,2017,Live-Action,Sequel
,Amityville: Mt. Misery Road,2018,Live-Action,Sequel
,The Amityville Murders,2018,Live-Action,Sequel
An American Girl,,,,
,Samantha: An American Girl Holiday,2004,Live-Action,Original
,Felicity: An American Girl Adventure,2005,Live-Action,Sequel
,Molly: An American Girl on the Home Front,2006,Live-Action,Sequel
,Kit Kittredge: An American Girl,2008,Live-Action,Sequel
,An American Girl: Chrissa Stands Strong,2009,Live-Action,Spin-Off
,An American Girl: McKenna Shoots for the Stars,2012,Live-Action,Spin-Off
,An American Girl: Saige Paints the Sky,2013,Live-Action,Spin-Off
,An American Girl: Isabelle Dances Into the Spotlight,2014,Live-Action,Spin-Off
,An American Girl: Grace Stirs Up Success,2015,Live-Action,Spin-Off
,An American Girl Story – Maryellen 1955: Extraordinary Christmas,2016,Live-Action,Spin-Off
,An American Girl Story – Melody 1963: Love Has to Win,2016,Live-Action,Spin-Off
,An American Girl: Lea to the Rescue,2016,Live-Action,Spin-Off
,An American Girl Story – Ivy & Julie 1976: A Happy Balance,2017,Live-Action,Spin-Off
An American Tail,,,,
,An American Tail,1986,Animated,Original
,An American Tail: Fievel Goes West,1991,Animated,Sequel
,An American Tail: The Treasure Of Manhattan Island,1998,Animated,Sequel
,An American Tail: The Mystery Of The Night Monster,1999,Animated,Sequel
An Inconvenient Truth,,,,
,An Inconvenient Truth,2006,Live-Action,Original
,An Inconvenient Sequel: Truth to Power,2017,Live-Action,Sequel
Analyze,,,,
,Analyze This,1999,Live-Action,Original
,Analyze That,2002,Live-Action,Sequel
Anchorman,,,,
,Anchorman: The Legend of Ron Burgundy,2004,Live-Action,Original
,"Wake Up, Ron Burgundy: The Lost Movie",2004,Live-Action,Spin-Off
,Anchorman 2: The Legend Continues,2013,Live-Action,Sequel
Annabelle,,,,
,Annabelle,2014,Live-Action,Original
,Annabelle: Creation,2017,Live-Action,Sequel
,Annabelle Comes Home,2019,Live-Action,Sequel
Ant-Man,,,,
,Ant-Man,2015,Live-Action,Original
,Ant-Man and the Wasp,2018,Live-Action,Sequel
Apple Dumpling Gang,,,,
,The Apple Dumpling Gang,1975,Live-Action,Original
,The Apple Dumpling Gang Rides Again,1979,Live-Action,Sequel
Appleseed,,,,
,Appleseed,1988,Animated,Original
,Appleseed,2004,Animated,Remake
,Appleseed: Ex Machina,2007,Animated,Sequel
,Appleseed Alpha,2014,Animated,Spin-Off
Arthur,,,,
,Arthur,1981,Live-Action,Original
,Arthur 2: On the Rocks,1988,Live-Action,Sequel
Atlantis,,,,
,Atlantis: The Lost Empire,2001,Animated,Original
,Atlantis: Milo's Return,2003,Animated,Sequel
,Atlantis: The Lost Empire,2021,Live-Action,Original
Atlas Shrugged,,,,
,Atlas Shrugged: Part I,2011,Live-Action,Original
,Atlas Shrugged: Part II,2012,Live-Action,Sequel
,Atlas Shrugged: Part III,2014,Live-Action,Sequel
Austin Powers,,,,
,Austin Powers: International Man of Mystery,1997,Live-Action,Original
,Austin Powers: The Spy Who Shagged Me,1999,Live-Action,Sequel
,Austin Powers in Goldmember,2002,Live-Action,Sequel
Avatar,,,,
,Avatar,2009,Live-Action,Original
,Avatar 2,2021,Live-Action,Sequel
,Avatar 3,2023,Live-Action,Sequel
,Avatar 4,2024,Live-Action,Sequel
The Avengers,,,,
,The Avengers,2012,Live-Action,Original
,Avengers: Age of Ultron,2015,Live-Action,Sequel
,Avengers: Infinity War,2018,Live-Action,Sequel
,Avengers: Endgame,2019,Live-Action,Sequel
B,,,,
Babylon 5,,,,
,The Gathering,1993,Live-Action,TV Movie
,Babylon 5: In the Beginning,1998,Live-Action,TV Movie
,Babylon 5: The River of Souls,1998,Live-Action,TV Movie
,Babylon 5: Thirdspace,1998,Live-Action,TV Movie
,Babylon 5: A Call to Arms,1999,Live-Action,TV Movie
,Babylon 5: The Legend of the Rangers: To Live and Die in Starlight,2002,Live-Action,TV Movie
,Babylon 5: The Lost Tales,2007,Live-Action,Spin-Off
Back to the Future,,,,
,Back to the Future,1985,Live-Action,Original
,Back to the Future Part II,1989,Live-Action,Sequel
,Back to the Future Part III,1990,Live-Action,Sequel
Bad Boys,,,,
,Bad Boys,1995,Live-Action,Original
,Bad Boys II,2003,Live-Action,Sequel
,Bad Boys for Life,2020,Live-Action,Sequel
Bad Moms,,,,
,Bad Moms,2016,Live-Action,Original
,A Bad Moms Christmas,2017,Live-Action,Sequel
Bad Santa,,,,
,Bad Santa,2003,Live-Action,Original
,Bad Santa 2,2016,Live-Action,Sequel
Balto,,,,
,Balto,1995,Animated,Original
,Balto II: Wolf Quest,2002,Animated,Sequel
,Balto III: Wings of Change,2004,Animated,Sequel
Bambi,,,,
,Bambi,1942,Animated,Original
,Bambi II,2006,Animated,Sequel
Barbershop,,,,
,Barbershop,2002,Live-Action,Original
,Barbershop 2: Back in Business,2004,Live-Action,Sequel
,Barbershop: The Next Cut,2016,Live-Action,Sequel
Basic Instinct,,,,
,Basic Instinct,1992,Live-Action,Original
,Basic Instinct 2,2006,Live-Action,Sequel
Batman,,,,
,Batman,1943,Live-Action,Original
,Batman and Robin,1949,Live-Action,Sequel
,Batman,1966,Live-Action,Remake
,Batman,1989,Live-Action,Original
,Batman Returns,1992,Live-Action,Sequel
,Batman Forever,1995,Live-Action,Sequel
,Batman & Robin,1997,Live-Action,Sequel
,Batman Begins,2005,Live-Action,Original
,The Dark Knight,2008,Live-Action,Sequel
,The Dark Knight Rises,2012,Live-Action,Sequel
,Batman v Superman: Dawn of Justice,2016,Live-Action,Spin-Off
,Batman: Hush,2019,Animated,Original
,The Batman,2021,Live-Action,Original
Beastmaster,,,,
,The Beastmaster,1982,Live-Action,Original
,Beastmaster 2: Through the Portal of Time,1991,Live-Action,Sequel
,Beastmaster III: The Eye of Braxus,1996,Live-Action,Sequel
Beauty and the Beast,,,,
,Beauty and the Beast,1991,Animated,Original
,Beauty and the Beast: The Enchanted Christmas,1997,Animated,Sequel
,Belle's Magical World,1998,Animated,Sequel
,Belle's Tales of Friendship,1999,Animated,Sequel
,Beauty and the Beast,2017,Live-Action,Original
Beethoven,,,,
,Beethoven,1992,Live-Action,Original
,Beethoven's 2nd,1993,Live-Action,Sequel
,Beethoven's 3rd,2000,Live-Action,Sequel
,Beethoven's 4th,2001,Live-Action,Sequel
,Beethoven's 5th,2003,Live-Action,Sequel
,Beethoven's Big Break,2008,Live-Action,Sequel
,Beethoven's Christmas Adventure,2011,Live-Action,Sequel
,Beethoven's Treasure Tail,2014,Live-Action,Sequel
Before,,,,
,Before Sunrise,1995,Live-Action,Original
,Before Sunset,2004,Live-Action,Sequel
,Before Midnight,2013,Live-Action,Sequel
Berserk: Golden Age Arc,,,,
,Berserk: Golden Age Arc I - The Egg of the King,2012,Animated,Original
,Berserk: Golden Age Arc II - The Battle for Doldrey,2012,Animated,Sequel
,Berserk: Golden Age Arc III - The Advent,2013,Animated,Sequel
Best of the Best,,,,
,Best of the Best,1989,Live-Action,Original
,Best of the Best II,1993,Live-Action,Sequel
,Best of the Best 3: No Turning Back,1995,Live-Action,Sequel
,Best of the Best 4: Without Warning,1998,Live-Action,Sequel
Beverly Hills Cop,,,,
,Beverly Hills Cop,1984,Live-Action,Original
,Beverly Hills Cop II,1987,Live-Action,Sequel
,Beverly Hills Cop III,1994,Live-Action,Sequel
Big Momma's House,,,,
,Big Momma's House,2000,Live-Action,Original
,Big Momma's House 2,2006,Live-Action,Sequel
,"Big Momma's: Like Father, Like Son",2011,Live-Action,Sequel
Bill & Ted,,,,
Bill & Ted,,,,
,Bill & Ted's Excellent Adventure,1989,Live-Action,Original
,Bill & Ted's Excellent Adventure,1989,Live-Action,Original
,Bill & Ted's Bogus Journey,1991,Live-Action,Sequel
,Bill & Ted's Bogus Journey,1991,Live-Action,Sequel
,Bill & Ted Face the Music,2020,Live-Action,Reboot
,Bill & Ted Face the Music,2020,Live-Action,Sequel
Blade Runner,,,,
,Blade Runner,1982,Live-Action,Original
,Blade Runner 2049,2017,Live-Action,Sequel
Blade,,,,
,Blade,1998,Live-Action,Original
,Blade II,2002,Live-Action,Sequel
,Blade: Trinity,2004,Live-Action,Sequel
The Blue Lagoon,,,,
,The Blue Lagoon,1980,Live-Action,Original
,Return to the Blue Lagoon,1991,Live-Action,Sequel
,Blue Lagoon: The Awakening,2012,Live-Action,TV Movie
The Blues Brothers,,,,
,The Blues Brothers,1980,Live-Action,Original
,Blues Brothers 2000,1998,Live-Action,Sequel
The Boondock Saints,,,,
,The Boondock Saints,1999,Live-Action,Original
,The Boondock Saints II: All Saints Day,2009,Live-Action,Sequel
Bourne,,,,
,The Bourne Identity,2002,Live-Action,Original
,The Bourne Supremacy,2004,Live-Action,Sequel
,The Bourne Ultimatum,2007,Live-Action,Sequel
,The Bourne Legacy,2012,Live-Action,Spin-Off
,Jason Bourne,2016,Live-Action,Sequel
Bridget Jones,,,,
,Bridget Jones's Diary,2001,Live-Action,Original
,Bridget Jones: The Edge of Reason,2004,Live-Action,Sequel
,Bridget Jones's Baby,2016,Live-Action,Sequel
Bring it On,,,,
,Bring it On,2000,Live-Action,Original
,Bring it On Again,2004,Live-Action,Sequel
,Bring it On: All or Nothing,2006,Live-Action,Sequel
,Bring it On : In It to Win It,2007,Live-Action,Sequel
,Bring it On: Fight to the Finish,2009,Live-Action,Sequel
The Butterfly Effect,,,,
,The Butterfly Effect,2004,Live-Action,Original
,The Butterfly Effect 2,2006,Live-Action,Sequel
,The Butterfly Effect 3: Revelation,2009,Live-Action,Sequel
C,,,,
Caddyshack,,,,
,Caddyshack,1980,Live-Action,Original
,Caddyshack II,1988,Live-Action,Sequel
Camp Rock,,,,
,Camp Rock,2008,Live-Action,Original
,Camp Rock 2: The Final Jam,2010,Live-Action,Sequel
Cannonball Run,,,,
,The Cannonball Run,1981,Live-Action,Original
,Cannonball Run II,1984,Live-Action,Sequel
,Speed Zone,1989,Live-Action,Sequel
Captain America,,,,
,Captain America,1944,Live-Action,Original
,Captain America,1979,Live-Action,Remake
,Captain America,1990,Live-Action,Remake
,Captain America: The First Avenger,2011,Live-Action,Original
,Captain America: The Winter Soldier,2014,Live-Action,Sequel
,Captain America: Civil War,2016,Live-Action,Sequel
Cars,,,,
,Cars,2006,Animated,Original
,Cars 2,2011,Animated,Sequel
,Cars 3,2017,Animated,Sequel
Charlie's Angels,,,,
,Charlie's Angels,2000,Live-Action,Original
,Charlie's Angels: Full Throttle,2003,Live-Action,Sequel
Cheaper by the Dozen,,,,
,Cheaper by the Dozen,2003,Live-Action,Original
,Cheaper by the Dozen 2,2005,Live-Action,Sequel
Child's Play,,,,
,Child's Play,1988,Live-Action,Original
,Child's Play 2,1990,Live-Action,Sequel
,Child's Play 3,1991,Live-Action,Sequel
,Bride of Chucky,1998,Live-Action,Sequel
,Seed of Chucky,2004,Live-Action,Sequel
,Curse of Chucky,2013,Live-Action,Sequel
,Cult of Chucky,2017,Live-Action,Sequel
,Child's Play,2019,Live-Action,Remake
Children of the Corn,,,,
,Children of the Corn,1984,Live-Action,Original
,Children of the Corn II: The Final Sacrifice,1992,Live-Action,Sequel
,Children of the Corn III: Urban Harvest,1995,Live-Action,Sequel
,Children of the Corn IV: The Gathering,1996,Live-Action,Sequel
,Children of the Corn V: Fields of Terror,1998,Live-Action,Sequel
,Children of the Corn 666: Isaac's Return,1999,Live-Action,Sequel
,Children of the Corn: Revelation,2001,Live-Action,Sequel
,Children of the Corn,2009,Live-Action,Sequel
,Children of the Corn: Genesis,2011,Live-Action,Sequel
,Children of the Corn: Runaway,2018,Live-Action,Sequel
The Chronicles of Narnia,,,,
,"The Chronicles of Narnia: The Lion, the Witch, and the Wardrobe",2005,Live-Action,Original
,The Chronicles of Narnia: Prince Caspian,2008,Live-Action,Sequel
,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Live-Action,Sequel
,The Chronicles of Narnia: The Silver Chair,TBD,Live-Action,Sequel
The Chronicles of Riddick,,,,
,Pitch Black,2000,Live-Action,Original
,The Chronicles of Riddick,2004,Live-Action,Sequel
,Riddick,2013,Live-Action,Sequel
Cinderella,,,,
,Cinderella,1950,Animated,Original
,Cinderella,1977,Animated,Remake
,Ever After: A Cinderella Story,1998,Live-Action,Original
,Cinderella 2: Dreams Come True,2002,Animated,Sequel
,A Cinderella Story,2004,Live-Action,Original
,Ella Enchanted,2004,Live-Action,Original
,Cinderella 3: A Twist in Time,2007,Animated,Sequel
,Another Cinderella Story,2008,Live-Action,Original
,Elle: A Modern Cinderella Tale,2010,Live-Action,Original
,A Cinderella Story: Once Upon a Song,2011,Live-Action,Original
,Into the Woods,2014,Live-Action,Original
,After the Ball,2015,Live-Action,Original
,Cinderella,2015,Live-Action,Original
,A Cinderella Story: If the Shoe Fits,2016,Live-Action,Sequel
City Slickers,,,,
,City Slickers,1991,Live-Action,Original
,City Slickers II: The Legend of Curly's Gold,1994,Live-Action,Sequel
Clash of the Titans,,,,
,Clash of the Titans,2010,Live-Action,Original
,Wrath of the Titans,2012,Live-Action,Sequel
Clerks,,,,
,Clerks,1994,Live-Action,Original
,Chasing Army,1997,Live-Action,Sequel
,Clerks II,2006,Live-Action,Sequel
Cloverfield,,,,
,Cloverfield,2008,Live-Action,Original
,10 Cloverfield Lane,2016,Live-Action,Sequel
,The Cloverfield Paradox,2018,Live-Action,Sequel
The Collector,,,,
,The Collector,2009,Live-Action,Original
,The Collection,2012,Live-Action,Sequel
Conan,,,,
,Conan the Barbarian,1982,Live-Action,Original
,Conan the Destroyer,1984,Live-Action,Sequel
